Date,(USD),(EUR),(GBP),(JPY),(CNY),(INR),(RUB),(CHF),(CAD),(MXN)
2010-01-04,1,0.695,0.62,92.863,6.827,46.3,29.995,1.034,1.039,12.972
2010-01-05,1,0.692,0.623,91.774,6.827,46.245,29.844,1.029,1.035,12.798
2010-01-06,1,0.697,0.626,92.467,6.827,45.83,29.861,1.033,1.04,12.805
2010-01-07,1,0.699,0.629,93.331,6.828,45.707,29.794,1.037,1.034,12.793
2010-01-08,1,0.701,0.626,93.435,6.828,45.758,29.777,1.038,1.036,12.749
2010-01-11,1,0.688,0.619,92.394,6.826,45.333,29.342,1.016,1.028,12.634
2010-01-12,1,0.691,0.62,91.437,6.827,45.722,29.485,1.018,1.033,12.775
2010-01-13,1,0.687,0.614,91.341,6.827,45.545,29.554,1.016,1.035,12.75
2010-01-14,1,0.69,0.615,91.73,6.827,45.644,29.458,1.022,1.032,12.76
2010-01-15,1,0.696,0.613,90.97,6.827,45.708,29.569,1.027,1.026,12.717
2010-01-19,1,0.7,0.612,90.896,6.827,45.805,29.676,1.034,1.031,12.719
2010-01-20,1,0.708,0.615,91.035,6.827,45.95,29.73,1.045,1.045,12.692
2010-01-21,1,0.711,0.619,91.823,6.827,46.04,29.765,1.047,1.048,12.71
2010-01-22,1,0.707,0.62,90.096,6.827,46.31,29.842,1.041,1.054,12.988
2010-01-25,1,0.707,0.62,90.269,6.827,46.22,30.107,1.041,1.06,12.899
2010-01-26,1,0.71,0.62,89.677,6.827,46.021,30.34,1.045,1.063,12.913
2010-01-27,1,0.711,0.616,89.504,6.827,46.3,30.284,1.046,1.064,12.884
2010-01-28,1,0.714,0.615,90.264,6.827,46.28,30.334,1.052,1.059,12.942
2010-01-29,1,0.716,0.62,90.327,6.827,46.195,30.316,1.05,1.069,13.025
2010-02-01,1,0.719,0.629,90.275,6.827,46.375,30.368,1.058,1.069,13.038
2010-02-02,1,0.718,0.627,90.55,6.827,46.208,30.17,1.057,1.06,12.882
2010-02-03,1,0.715,0.627,90.625,6.827,45.975,29.934,1.054,1.061,12.88
2010-02-04,1,0.722,0.631,90.763,6.827,46.255,30.104,1.061,1.062,12.978
2010-02-05,1,0.73,0.638,89.468,6.827,46.797,30.484,1.072,1.074,13.174
2010-02-08,1,0.731,0.641,89.265,6.827,46.81,30.498,1.072,1.071,13.172
2010-02-09,1,0.727,0.64,89.68,6.827,46.655,30.352,1.066,1.067,13.128
2010-02-10,1,0.728,0.64,89.527,6.83,46.495,30.262,1.067,1.068,13.06
2010-02-11,1,0.729,0.64,89.685,6.835,46.501,30.16,1.069,1.057,13.075
2010-02-12,1,0.737,0.64,90.134,6.833,46.493,30.274,1.079,1.051,13.01
2010-02-16,1,0.733,0.638,89.882,6.833,46.211,30.155,1.075,1.045,12.905
2010-02-17,1,0.729,0.633,90.842,6.833,46.113,30.005,1.069,1.042,12.825
2010-02-18,1,0.737,0.642,90.882,6.833,46.275,30.087,1.08,1.045,12.866
